companyName,companySize,companyRevenue
Alaska Air Group,"21,691","$6,176.00"
Big Lots,"23,350","$6,151.00"
Amkor Technology,"30,400","$6,138.00"
Sinclair Broadcast Group,"11,500","$6,134.00"
RPM International,"15,490","$6,106.00"
M&T Bank,"17,342","$6,106.00"
Sprouts Farmers Market,"31,000","$6,100.00"
Huntington Bancshares,"18,442","$6,080.00"
CACI International,"22,000","$6,044.00"
JetBlue Airways,"17,459","$6,037.00"
SVB Financial Group,"6,567","$6,027.00"
Fastenal,"18,370","$6,011.00"
GameStop,"22,500","$6,011.00"
Knight-Swift Transportation Holdings,"27,650","$5,998.00"
Airbnb,"6,132","$5,992.00"
Patterson,"7,800","$5,912.00"
Penn National Gaming,"21,973","$5,905.00"
ServiceNow,"16,881","$5,896.00"
Nasdaq,"5,814","$5,886.00"
Brunswick,"18,582","$5,846.00"
Resideo Technologies,"13,300","$5,846.00"
Chesapeake Energy,"1,300","$5,809.00"
Petco Health and Wellness,"28,495","$5,807.00"
Kemper,"10,300","$5,793.00"
Hilton Worldwide Holdings,"142,000","$5,788.00"
Cerner,"25,150","$5,765.00"
Levi Strauss,"16,600","$5,764.00"
Tapestry,"14,250","$5,746.00"
NetApp,"11,000","$5,744.00"
KB Home,"2,244","$5,725.00"
Continental Resources,"1,254","$5,719.00"
Intuitive Surgical,"9,793","$5,710.00"
Under Armour,"12,300","$5,684.00"
MDU Resources Group,"12,826","$5,681.00"
Silgan Holdings,"15,720","$5,677.00"
Ryerson Holding,"4,000","$5,675.00"
Ingersoll Rand,"16,000","$5,655.00"
Hologic,"6,705","$5,632.00"
Electronic Arts,"11,000","$5,629.00"
Zebra Technologies,"9,800","$5,627.00"
Coty,"11,430","$5,616.00"
Schneider National,"17,050","$5,609.00"
Sonoco Products,"20,500","$5,590.00"
Concentrix,"290,000","$5,587.00"
Evergy,"4,930","$5,587.00"
Cornerstone Building Brands,"21,700","$5,583.00"
Coca-Cola Consolidated,"15,050","$5,563.00"
Greif,"16,000","$5,556.00"
Vulcan Materials,"11,912","$5,552.00"
Ametek,"18,500","$5,547.00"
Monster Beverage,"3,775","$5,541.00"
Sealed Air,"16,500","$5,534.00"
